M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8
M,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,11
F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13
F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,8
M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11
M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,11
F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10
I,0.51,0.395,0.105,0.5525,0.234,0.127,0.165,8
I,0.47,0.375,0.105,0.468,0.1665,0.108,0.17,10
F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19
I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19
I,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8
M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5
I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12
M,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,13
M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7
I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
F,0.645,0.51,0.155,1.129,0.5015,0.24,0.342,10
M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8
M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10
F,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,9
F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11
F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10
I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9
I,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7
F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,11
F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
F,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16
I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12
F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,9
M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
I,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,8
M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11
F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
M,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,12
M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7
F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15
M,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
F,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9
M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8
M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10
I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,8
I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8
I,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
F,0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,10
F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9
I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,7
M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
I,0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8
M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12
F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9
F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9
F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14
F,0.555,0.44,0.155,1.016,0.4935,0.1855,0.263,10
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18
M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7
I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8
I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3
M,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,10
F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9
I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10
F,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,11
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7
M,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10
I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
I,0.37,0.275,0.085,0.2045,0.096,0.056,0.08,6
M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9
M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10
I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10
M,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12
I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9
F,0.34,0.255,0.085,0.204,0.097,0.021,0.05,6
I,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,7
I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
I,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10
M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12
M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10
M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8
F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14
