F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11
M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11
I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7
I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10
F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11
I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7
I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8
F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,5
M,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13
F,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13
F,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9
M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
M,0.65,0.52,0.155,1.368,0.6185,0.288,0.365,9
F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12
M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6
F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9
I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,15
F,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9
F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
I,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,7
F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11
I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
M,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,8
M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
I,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13
F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13
I,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
M,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,9
I,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10
M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8
I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
M,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,10
F,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,9
M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8
F,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
M,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,8
F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
I,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,9
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11
F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
I,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6
M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
M,0.61,0.48,0.185,1.3065,0.6895,0.2915,0.29,10
I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5
F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5
M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8
I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9
I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
I,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,9
M,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,12
I,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,7
I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12
I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8
M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7
I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8
I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8
F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,8
I,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,10
F,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,11
M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12
M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6
I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
M,0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,13
F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,10
F,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10
I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4
M,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11
M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
M,0.55,0.41,0.15,0.785,0.282,0.186,0.275,12
I,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11
I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8
I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7
M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
F,0.64,0.49,0.18,1.36,0.653,0.347,0.305,9
I,0.395,0.3,0.09,0.279,0.134,0.049,0.075,8
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
M,0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9
I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10
M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
M,0.53,0.425,0.11,0.739,0.237,0.161,0.295,13
I,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7
I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8
I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6
M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
F,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7
F,0.705,0.545,0.18,1.5395,0.6075,0.3675,0.4645,13
I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
F,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10
M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7
F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
M,0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9
M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
F,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10
I,0.375,0.245,0.1,0.394,0.166,0.091,0.1125,6
F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
I,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7
F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11
M,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
I,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12
F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12
F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
M,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10
F,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,9
M,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9
M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
M,0.485,0.385,0.105,0.556,0.296,0.104,0.133,7
M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9
F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11
M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
I,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13
I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
M,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10
F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
