256.0, mitsubishi, gas, std, two, hatchback, fwd, front,102.9,165.6,69.8,48.8,2395.0, ohc, four,234.0, spdi, 3.74, 2.9,9.5, 116.0, 5900.0,16.0,23.0, 14869.0,3
?, volkswagen, diesel, turbo, four, sedan, fwd, front,100.4,180.2,66.9,55.1,2579.0, ohc, four,97.0, idi, 3.01, 3.4,23.0, 68.0, 4500.0,33.0,38.0, 13845.0,0
104.0, mazda, gas, std, two, hatchback, fwd, front,93.1,159.1,64.2,54.1,1890.0, ohc, four,91.0, 2bbl, 3.03, 3.15,9.0, 68.0, 5000.0,30.0,31.0, 5195.0,1
186.0, mitsubishi, gas, std, two, hatchback, fwd, front,98.1,169.6,65.7,51.4,3586.0, ohc, four,196.0, mpfi, 3.74,?,9.5, 116.0, 5200.0,20.0,28.0, 15040.0,3
93.0, mercedes-benz, diesel, turbo, four, wagon, rwd, front,110.0,190.9,70.3,58.7,3750.0, ohc, five,183.0, idi, 3.58, 3.64,21.5, 123.0, 4350.0,22.0,25.0, 28248.0,-1
122.0, volkswagen, gas, std, two, sedan, fwd, front,97.3,171.7,65.5,55.7,2209.0, ohc, four,109.0, mpfi, 3.19, 3.4,9.0, 85.0, 5250.0,27.0,34.0, 7975.0,2
?, plymouth, gas, turbo, two, hatchback, rwd, front,95.9,173.2,66.3,50.2,2818.0, ohc, four,156.0, spdi, 3.59, 3.86,7.0, 145.0, 5000.0,19.0,24.0, 12764.0,3
102.0, subaru, gas, turbo, four, sedan, 4wd, front,97.0,172.0,65.4,54.3,2510.0, ohcf, four,108.0, mpfi, 3.62, 2.64,7.7, 111.0, 4800.0,24.0,29.0, 11259.0,0
197.0, porsche, gas, turbo, two, convertible, rwd, rear,98.6,165.3,69.1,49.7,3300.0, dohc, six,190.0, mpfi, 3.59, 2.9,9.5, 101.0, 5200.0,24.0,24.0, 14869.0,3
101.0, honda, gas, std, two, hatchback, fwd, front,93.7,150.0,64.0,52.6,1837.0, ohc, four,79.0, 1bbl, 2.91, 3.07,10.1, 60.0, 5500.0,38.0,42.0, 5399.0,1
104.0, dodge, gas, std,?, hatchback, fwd, front,93.3,153.8,64.6,51.5,2109.0, ohc, four,89.0, 2bbl, 3.43, 3.23,7.75, 102.0, 5500.0,30.0,30.0, 7689.0,1
91.0, toyota, gas, std, four, sedan, fwd, front,95.7,166.3,64.4,52.8,2140.0, ohc, four,98.0, 2bbl, 3.19, 3.03,9.0, 70.0, 4800.0,28.0,34.0, 9258.0,0
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3045.0, ohc, four,130.0, mpfi, 3.78, 3.15,7.5, 114.0, 5100.0,24.0,26.0, 18420.0,-2
?, nissan, diesel, turbo, four, sedan, fwd, front,94.5,161.8,63.6,50.3,2185.0, ohc, four,110.0, 2bbl, 3.03, 3.4,7.68, 55.0, 5500.0,29.0,30.0,?,1
91.0, toyota, diesel, std, four, sedan, fwd, front,95.7,166.3,64.4,53.0,2275.0, ohc, four,110.0, idi, 3.27, 3.35,22.5, 56.0, 4500.0,34.0,36.0, 7898.0,0
95.0, volvo, gas, std, four, sedan, rwd, front,109.1,188.8,68.9,55.5,3012.0, ohcv, six,173.0, mpfi, 3.58, 2.87,8.8, 134.0, 5500.0,18.0,23.0, 21485.0,-1
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3045.0, ohc, four,134.0, mpfi, 3.62, 3.15,9.5, 114.0, 5100.0,17.0,26.0, 12940.0,-2
65.0, toyota, diesel, std, four, wagon, rwd, front,112.7,172.4,67.9,54.3,2574.0, ohc, four,121.0, mpfi, 3.27, 3.46,10.1, 92.0, 4200.0,30.0,18.0, 8921.0,-1
?, honda, gas, std, two, sedan, fwd, front,101.2,186.4,64.4,54.4,2393.0, ohc, four,90.0, mpfi, 3.62, 3.4,16.3, 52.0, 5500.0,23.0,43.0, 8249.0,2
?, audi, gas, turbo, two, hatchback, 4wd, front,99.5,178.2,67.9,52.0,3053.0, ohc, five,131.0, mpfi, 3.13, 3.4,7.0, 160.0, 5500.0,16.0,22.0,?,0
?, volkswagen, diesel, turbo, four, sedan, fwd, front,100.4,180.2,66.9,55.1,2579.0, ohc, four,97.0, idi, 3.01, 3.4,23.0, 68.0, 4500.0,33.0,38.0, 13845.0,0
119.0, plymouth, gas, turbo, two, hatchback, fwd, front,93.7,157.3,63.8,50.8,2128.0, ohc, four,98.0, spdi, 3.03, 3.39,7.6, 102.0, 5500.0,24.0,30.0, 7957.0,1
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2935.0, ohc, four,141.0, mpfi, 3.78, 3.15,9.5, 114.0, 5400.0,24.0,28.0, 15985.0,-2
154.0, plymouth, gas, std, four, sedan, fwd, front,93.7,167.3,63.8,50.8,2191.0, ohc, four,98.0, 2bbl, 2.97, 3.23,9.4, 68.0, 5500.0,31.0,38.0, 7609.0,1
122.0, subaru, gas, std, four, sedan, 4wd, front,92.5,183.9,65.9,56.1,2266.0, ohc, four,110.0, mpfi, 3.62, 3.4,9.4, 115.0, 5500.0,20.0,54.0, 16430.0,2
197.0, porsche, gas, turbo, two, hatchback, fwd, front,93.6,161.0,70.1,56.1,2794.0, ohcf, four,70.0, mpfi,?,?,9.5, 145.0, 5000.0,25.0,27.0, 15998.0,3
197.0, volkswagen, gas, turbo, two, convertible, fwd, front,97.2,172.8,70.1,48.8,2852.0, rotor, six,116.0, mpfi,?, 3.86,9.12, 207.0, 5500.0,18.0,18.0, 34028.0,3
83.0, subaru, gas, std, two, hatchback, 4wd, front,93.3,157.3,63.8,55.7,2240.0, ohcf, four,108.0, 2bbl, 3.62, 2.64,8.7, 73.0, 4400.0,26.0,31.0, 7603.0,2
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2935.0, ohc, four,130.0, mpfi, 3.78, 3.15,9.5, 114.0, 5400.0,24.0,28.0, 18420.0,-2
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2912.0, ohc, four,141.0, mpfi, 3.78, 3.15,9.5, 114.0, 5400.0,23.0,28.0, 12940.0,-2
