a,1792.0,1021.0, u, g, ff, ff,0.0, f, f,0, f, g,0,50, negative
a,2658.0,254.0, y, p, ff, ff,0.0, f, f,0, t, g,180,60, negative
b,5392.0,9625.0, u, g, e, v,8665.0, t, t,5, f, g,0,0, positive
b,2233.0,11.0, u, g, w, v,2.0, t, t,1, f, g,80,278, positive
b,2475.0,54.0, u, g, m, v,1.0, f, f,0, t, g,120,1, negative
b,2442.0,12335.0, u, g, q, h,1585.0, t, f,0, t, g,120,0, positive
b,485.0,425.0, u, g, m, v,125.0, t, f,0, t, g,225,0, positive
b,2517.0,35.0, u, g, cc, v,625.0, t, t,7, f, g,0,7059, positive
b,2633.0,13.0, u, g, e, dd,0.0, f, f,0, t, g,140,1110, negative
a,215.0,6.0, u, g, aa, v,25.0, t, t,3, f, g,80,918, positive
b,21.0,3.0, y, p, d, v,1085.0, t, t,8, t, g,160,1, positive
b,2825.0,875.0, u, g, m, v,96.0, t, t,3, t, g,396,0, positive
b,2758.0,204.0, y, p, aa, v,2.0, t, t,3, t, g,370,560, positive
b,4433.0,5.0, u, g, i, h,5.0, t, f,0, t, g,320,0, positive
b,2342.0,1.0, u, g, c, v,5.0, f, f,0, t, s,280,0, negative
a,1286.0,0.0, y, p, q, v,0.0, t, t,0, t, g,0,1387, positive
b,3617.0,18125.0, u, g, w, v,85.0, f, f,0, f, g,320,3552, negative
b,4825.0,25085.0, u, g, w, v,175.0, t, t,3, f, g,120,14, positive
b,2783.0,15.0, u, g, w, v,225.0, f, t,1, t, g,100,3, negative
b,20.0,7.0, u, g, c, v,5.0, f, f,0, f, g,0,0, negative
a,3080.0,1145.0, u, g, d, v,0.0, t, t,2, t, g,103,2749, positive
b,2892.0,15.0, u, g, c, h,5335.0, t, t,11, f, g,0,2283, positive
a,1733.0,95.0, u, g, aa, v,175.0, f, t,10, t, g,0,10, negative
b,2725.0,1585.0, u, g, cc, h,1835.0, t, t,12, t, g,583,713, positive
b,1633.0,275.0, u, g, aa, v,665.0, f, t,1, f, g,80,21, negative
b,6333.0,54.0, u, g, c, v,585.0, t, t,3, t, g,180,0, negative
b,3375.0,275.0, u, g, i, bb,0.0, f, f,0, f, g,180,0, negative
b,2375.0,415.0, y, p, c, v,4.0, f, t,2, f, g,128,6, negative
b,1942.0,65.0, u, g, w, h,146.0, t, t,7, f, g,80,2954, positive
b,2942.0,125.0, u, g, c, h,25.0, f, t,2, t, g,400,108, negative
a,2692.0,135.0, u, g, q, h,5.0, t, t,2, f, g,0,5000, positive
b,2917.0,35.0, u, g, w, v,35.0, t, t,3, t, g,329,0, negative
b,3475.0,15.0, u, g, r, n,5375.0, t, t,9, t, g,0,134, positive
b,6542.0,11.0, u, g, e, z,20.0, t, t,7, t, g,22,0, positive
b,4875.0,85.0, u, g, c, h,125.0, t, t,9, f, g,181,1655, positive
b,3158.0,75.0, y, p, aa, v,35.0, f, f,0, t, g,320,0, negative
b,3125.0,1125.0, u, g, ff, ff,0.0, f, t,1, f, g,96,19, negative
b,2592.0,875.0, u, g, k, v,375.0, f, t,2, t, g,174,3, negative
a,23.0,1835.0, u, g, j, j,0.0, f, t,1, f, g,200,53, negative
b,2267.0,165.0, u, g, c, j,225.0, f, f,0, t, s,0,0, positive
b,3242.0,3.0, u, g, d, v,165.0, f, f,0, t, g,120,0, negative
b,2892.0,375.0, u, g, c, v,29.0, f, f,0, f, g,220,140, negative
a,2325.0,5875.0, u, g, q, v,317.0, t, t,10, f, g,120,245, positive
b,27.0,15.0, y, p, w, v,375.0, t, f,0, t, g,260,1065, positive
b,2667.0,271.0, y, p, cc, v,525.0, t, t,1, f, g,211,0, positive
b,3475.0,15.0, u, g, r, n,5375.0, t, t,9, t, g,0,134, positive
b,42.0,979.0, u, g, x, h,796.0, t, t,8, f, g,0,0, positive
a,2408.0,5.0, u, g, q, h,125.0, t, t,1, f, g,0,678, positive
b,2342.0,1.0, u, g, c, v,5.0, f, f,0, t, s,280,0, negative
b,2942.0,125.0, u, g, w, v,175.0, f, f,0, f, g,200,0, negative
b,3167.0,83.0, u, g, x, v,1335.0, t, t,8, t, g,303,3290, positive
b,5183.0,204.0, y, p, ff, ff,15.0, f, f,0, f, g,120,1, negative
b,3133.0,195.0, u, g, c, v,7.0, t, t,16, f, g,0,5000, positive
a,5217.0,0.0, y, p, ff, ff,0.0, f, f,0, f, g,0,0, negative
b,2225.0,46.0, u, g, k, v,125.0, f, f,0, t, g,280,55, negative
b,2258.0,1004.0, u, g, x, v,4.0, t, t,9, f, g,60,396, positive
b,335.0,175.0, u, g, x, h,45.0, t, t,4, t, g,253,857, positive
