a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
b,3017.0,65.0, u, g, cc, v,3125.0, t, t,8, f, g,330,1200, positive
a,3308.0,4625.0, u, g, q, h,1625.0, t, t,2, f, g,0,0, positive
b,3167.0,16165.0, u, g, d, v,3.0, t, t,9, f, g,250,730, positive
b,2825.0,875.0, u, g, m, v,96.0, t, t,3, t, g,396,0, positive
b,18.0,1083.0, u, gg, w, v,0.0, t, t,0, f, s,0,471, positive
a,2175.0,1175.0, u, g, c, v,25.0, f, f,0, t, g,180,0, negative
b,2125.0,15.0, u, g, w, v,15.0, f, f,0, f, g,150,8, positive
b,2392.0,585.0, y, p, cc, h,125.0, f, f,0, f, g,240,1, negative
a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
b,235.0,275.0, u, g, ff, ff,45.0, f, f,0, f, g,160,25, negative
a,285.0,1.0, u, g, q, v,1.0, t, t,2, t, g,167,500, negative
b,3892.0,175.0, u, g, k, v,5.0, f, f,0, t, g,300,2, negative
b,2325.0,15.0, u, g, q, v,2375.0, t, t,3, t, g,0,582, positive
b,3408.0,25.0, u, g, c, v,1.0, f, f,0, f, g,460,16, negative
b,3983.0,5.0, u, g, m, v,25.0, t, f,0, f, s,288,0, negative
b,1725.0,3.0, u, g, k, v,4.0, f, f,0, t, g,160,40, negative
b,4317.0,225.0, u, g, i, bb,75.0, t, f,0, f, g,560,0, negative
b,2958.0,45.0, u, g, w, v,75.0, t, t,2, t, g,330,0, positive
b,42.0,205.0, u, g, i, h,5125.0, t, f,0, f, g,400,0, positive
b,595.0,275.0, u, g, w, v,175.0, t, t,5, t, g,60,58, positive
a,1608.0,335.0, u, g, ff, ff,0.0, f, t,1, f, g,160,126, negative
a,2258.0,1075.0, u, g, q, v,415.0, t, t,5, t, g,0,560, positive
b,1222.0,4143.0, u, p, x, v,0.0, t, t,0, t, g,50,1896, positive
a,2842.0,35.0, u, g, w, v,835.0, t, f,0, f, s,280,0, positive
a,3695.0,1398.0, y, gg, aa, v,0.0, t, t,0, t, g,174,2588, positive
a,2858.0,354.0, u, g, i, bb,5.0, t, f,0, t, g,171,0, negative
b,1958.0,585.0, u, g, ff, ff,0.0, f, t,3, f, g,350,769, negative
a,2842.0,35.0, u, g, w, v,835.0, t, f,0, f, s,280,0, positive
b,345.0,404.0, y, p, i, bb,85.0, t, t,7, t, g,195,0, positive
a,565.0,16.0, u, g, j, ff,0.0, t, t,15, f, g,0,247, positive
a,1586.0,1213.0, u, g, q, n,0.0, t, f,0, f, s,0,2089, positive
b,2958.0,475.0, u, g, m, v,2.0, f, t,1, t, g,460,68, negative
a,1783.0,11.0, u, g, x, h,1.0, t, t,11, f, g,0,3000, positive
b,2575.0,75.0, u, g, c, bb,25.0, t, f,0, f, g,349,23, positive
b,2133.0,75.0, u, g, aa, v,1415.0, t, t,1, f, g,80,9800, positive
b,4317.0,5.0, u, g, i, bb,225.0, f, f,0, t, g,141,0, negative
b,2117.0,875.0, y, p, c, h,25.0, f, f,0, f, g,280,204, negative
b,34.0,55.0, y, p, c, v,15.0, f, f,0, t, g,60,0, negative
b,27.0,15.0, y, p, w, v,375.0, t, f,0, t, g,260,1065, positive
a,1917.0,5415.0, u, g, i, h,29.0, f, f,0, f, g,80,484, negative
b,4283.0,125.0, u, g, m, v,13875.0, f, t,1, t, g,352,112, negative
b,3358.0,335.0, y, p, cc, v,85.0, f, f,0, f, g,180,0, negative
b,2675.0,1125.0, u, g, x, h,125.0, t, f,0, f, g,0,5298, positive
b,35.0,25.0, u, g, i, v,1.0, f, f,0, t, g,210,0, negative
a,2292.0,11585.0, u, g, cc, v,4.0, t, f,0, f, g,80,1349, positive
a,1692.0,5.0, u, g, i, v,165.0, f, t,6, t, g,240,35, negative
a,285.0,304.0, y, p, x, h,254.0, t, t,1, f, g,70,0, positive
b,1817.0,246.0, u, g, c, n,96.0, f, t,2, t, g,160,587, negative
b,2342.0,1.0, u, g, c, v,5.0, f, f,0, t, s,280,0, negative
b,32.0,175.0, y, p, e, h,4.0, t, f,0, t, g,393,0, positive
b,2333.0,11625.0, y, p, w, v,835.0, t, f,0, t, g,160,300, positive
b,3933.0,5875.0, u, g, cc, h,10.0, t, t,14, t, g,399,0, positive
a,25.0,11.0, y, p, aa, v,45.0, t, f,0, f, g,120,0, negative
a,225.0,85.0, u, g, q, v,175.0, t, t,10, f, g,80,990, negative
