b,1883.0,415.0, y, p, c, v,165.0, f, t,1, f, g,200,1, negative
b,4825.0,25085.0, u, g, w, v,175.0, t, t,3, f, g,120,14, positive
b,3917.0,25.0, y, p, i, h,10.0, f, f,0, t, s,200,0, negative
b,2308.0,25.0, u, g, c, v,1085.0, t, t,11, t, g,60,2184, positive
a,565.0,16.0, u, g, j, ff,0.0, t, t,15, f, g,0,247, positive
a,2608.0,8665.0, u, g, aa, v,1415.0, t, f,0, f, g,160,150, positive
b,5392.0,9625.0, u, g, e, v,8665.0, t, t,5, f, g,0,0, positive
b,3288.0,1978.0, l, g, k, v,0.0, t, f,0, t, g,0,0, positive
a,3025.0,55.0, u, g, k, v,55.0, f, f,0, t, s,100,0, negative
a,2492.0,125.0, u, g, ff, ff,0.0, t, f,0, f, g,80,0, negative
b,3208.0,4.0, y, p, cc, v,15.0, f, f,0, t, g,120,0, negative
b,2817.0,125.0, y, p, k, v,85.0, f, f,0, f, g,216,2100, negative
b,2958.0,45.0, u, g, w, v,75.0, t, t,2, t, g,330,0, positive
b,1933.0,95.0, u, g, q, v,1.0, t, f,0, t, g,60,400, positive
a,3833.0,4415.0, u, g, c, v,125.0, f, f,0, f, g,160,0, negative
b,1517.0,7.0, u, g, e, v,1.0, f, f,0, f, g,600,0, negative
b,5675.0,1225.0, u, g, m, v,125.0, t, t,4, t, g,200,0, positive
b,3417.0,525.0, u, g, w, v,85.0, f, f,0, t, g,290,6, positive
a,4583.0,105.0, u, g, q, v,5.0, t, t,7, t, g,0,0, positive
a,2608.0,8665.0, u, g, aa, v,1415.0, t, f,0, f, g,160,150, positive
b,4425.0,5.0, u, g, m, v,1075.0, t, f,0, f, s,400,0, negative
a,1401.0,1379.0, u, g, e, h,2084.0, f, t,0, t, g,0,0, positive
b,2046.0,1060.0, u, g, q, v,0.0, t, f,0, t, g,0,1826, positive
b,2308.0,25.0, u, g, c, v,1085.0, t, t,11, t, g,60,2184, positive
a,5185.0,4200.0, y, gg, k, n,38.0, t, t,4, t, g,21,2637, positive
a,2175.0,175.0, y, p, j, j,0.0, f, f,0, f, g,160,0, negative
b,3442.0,1335.0, u, g, i, bb,125.0, f, f,0, t, g,440,4500, negative
a,1808.0,375.0, l, gg, cc, ff,10.0, f, f,0, t, s,300,0, positive
b,3442.0,425.0, u, g, i, bb,325.0, t, t,2, f, g,274,610, positive
b,2442.0,2.0, u, g, e, dd,165.0, f, t,2, f, g,320,1300, negative
b,3617.0,18125.0, u, g, w, v,85.0, f, f,0, f, g,320,3552, negative
b,4517.0,15.0, u, g, c, v,25.0, t, f,0, t, g,140,0, negative
a,5185.0,4200.0, y, gg, k, n,38.0, t, t,4, t, g,21,2637, positive
b,2233.0,11.0, u, g, w, v,2.0, t, t,1, f, g,80,278, positive
b,2867.0,9335.0, u, g, q, h,5665.0, t, t,6, f, g,381,168, positive
b,3242.0,2165.0, y, p, k, ff,0.0, f, f,0, f, g,120,0, negative
b,1108.0,226.0, u, g, c, z,0.0, t, t,12, f, g,161,2648, positive
b,1858.0,1029.0, u, g, ff, ff,415.0, f, f,0, f, g,80,0, negative
a,2758.0,3.0, u, g, m, v,279.0, f, t,1, t, g,280,10, negative
b,2183.0,25.0, u, g, d, h,665.0, t, f,0, t, g,0,0, positive
b,2342.0,585.0, u, g, c, h,85.0, t, f,0, f, g,180,0, negative
b,2833.0,5.0, u, g, w, v,11.0, t, f,0, t, g,70,0, positive
b,34.0,5085.0, y, p, i, bb,1085.0, f, f,0, t, g,480,0, negative
a,1733.0,95.0, u, g, aa, v,175.0, f, t,10, t, g,0,10, negative
b,2258.0,1004.0, u, g, x, v,4.0, t, t,9, f, g,60,396, positive
b,3892.0,175.0, u, g, k, v,5.0, f, f,0, t, g,300,2, negative
b,7483.0,19.0, y, p, ff, ff,4.0, f, t,2, f, g,0,351, negative
b,18.0,0.0, u, g, w, h,0.0, t, f,9, f, g,0,927, positive
b,1815.0,255.0, l, g, i, o,0.0, f, f,15, t, g,2,2145, positive
b,4058.0,15.0, u, g, i, bb,0.0, f, f,0, f, s,300,0, negative
b,1792.0,205.0, u, g, aa, v,4.0, f, f,0, f, g,280,750, negative
b,1725.0,3.0, u, g, k, v,4.0, f, f,0, t, g,160,40, negative
a,2225.0,125.0, y, p, ff, ff,325.0, f, f,0, f, g,280,0, negative
b,3242.0,2165.0, y, p, k, ff,0.0, f, f,0, f, g,120,0, negative
b,4092.0,5.0, y, p, m, v,5.0, f, f,0, t, g,130,0, negative
a,2192.0,11665.0, u, g, k, h,85.0, f, f,0, f, g,320,5, negative
b,3358.0,335.0, y, p, cc, v,85.0, f, f,0, f, g,180,0, negative
b,4317.0,5.0, u, g, i, bb,225.0, f, f,0, t, g,141,0, negative
b,2675.0,45.0, y, p, c, bb,25.0, f, f,0, f, g,200,1210, negative
b,2389.0,339.0, u, g, w, h,0.0, t, t,0, t, g,0,0, positive
b,3142.0,155.0, u, g, c, v,5.0, t, f,0, f, g,120,0, negative
a,46.0,4.0, u, g, j, j,0.0, t, f,0, f, g,100,960, positive
b,3417.0,275.0, u, g, i, bb,25.0, f, f,0, t, g,232,200, negative
b,4217.0,504.0, u, g, q, h,1275.0, t, f,0, t, g,92,0, positive
a,245.0,175.0, y, p, c, v,165.0, f, f,0, f, g,132,0, negative
b,44.0,2.0, u, g, m, v,175.0, t, t,2, t, g,0,15, positive
b,41.0,4.0, u, g, e, v,4.0, f, t,1, f, s,560,0, positive
b,225.0,115.0, y, p, m, v,15.0, f, f,0, t, g,0,4000, negative
b,395.0,1625.0, u, g, c, v,15.0, f, f,0, f, g,0,316, negative
a,5708.0,335.0, u, g, i, bb,1.0, t, f,0, t, g,252,2197, negative
b,2128.0,1166.0, u, g, w, v,0.0, t, f,0, f, p,388,2313, positive
b,235.0,3165.0, y, p, k, v,415.0, f, t,1, t, g,280,80, negative
b,28.0,2.0, u, g, k, h,4165.0, t, t,2, t, g,181,0, positive
a,1583.0,585.0, u, g, c, h,15.0, t, t,2, f, g,100,0, positive
b,2325.0,1.0, u, g, c, v,835.0, t, f,0, f, s,300,0, positive
b,3442.0,425.0, u, g, i, bb,325.0, t, t,2, f, g,274,610, positive
b,5242.0,15.0, u, g, d, v,375.0, f, f,0, t, g,0,350, negative
a,2617.0,2.0, u, g, j, j,0.0, f, f,0, t, g,276,1, negative
a,225.0,415.0, u, g, i, v,335.0, f, f,0, t, s,144,0, negative
a,1842.0,925.0, u, g, q, v,121.0, t, t,4, f, g,60,540, positive
b,495.0,7585.0, u, g, i, bb,7585.0, t, t,15, t, g,0,5000, positive
b,3908.0,6.0, u, g, m, v,129.0, t, t,5, t, g,108,1097, positive
a,4775.0,8.0, u, g, c, v,7875.0, t, t,6, t, g,0,1260, positive
b,2983.0,35.0, u, g, c, v,165.0, f, f,0, f, g,216,0, negative
b,5133.0,10.0, u, g, i, bb,0.0, t, t,11, f, g,0,1249, positive
b,3475.0,25.0, u, g, cc, bb,5.0, f, f,0, f, g,348,0, negative
a,3517.0,375.0, u, g, ff, ff,0.0, f, t,6, f, g,0,200, negative
b,2017.0,5625.0, u, g, w, v,171.0, t, f,0, f, s,120,0, positive
b,33.0,25.0, y, p, w, v,7.0, f, f,0, t, g,280,0, negative
a,295.0,1085.0, y, p, x, v,1.0, f, f,0, f, g,280,13, negative
b,2967.0,1415.0, u, g, w, h,75.0, t, t,1, f, g,240,100, positive
a,4742.0,3.0, u, g, x, v,13875.0, t, t,2, t, g,519,1704, positive
a,1883.0,4415.0, y, p, c, h,3.0, t, f,0, f, g,240,0, positive
a,45.0,4585.0, u, g, k, h,1.0, f, f,0, t, s,240,0, negative
b,3825.0,10125.0, y, p, k, v,125.0, f, f,0, f, g,160,0, negative
a,4433.0,0.0, u, g, c, v,25.0, t, f,0, f, g,0,0, positive
b,1858.0,571.0, u, g, d, v,54.0, f, f,0, f, g,120,0, negative
b,2442.0,12335.0, u, g, q, h,1585.0, t, f,0, t, g,120,0, positive
