b,345.0,404.0, y, p, i, bb,85.0, t, t,7, t, g,195,0, positive
a,3080.0,1145.0, u, g, d, v,0.0, t, t,2, t, g,103,2749, positive
b,1617.0,4.0, u, g, c, v,4.0, f, f,0, f, g,0,0, positive
b,4517.0,15.0, u, g, c, v,25.0, t, f,0, t, g,140,0, negative
a,3325.0,3.0, y, p, aa, v,2.0, f, f,0, f, g,180,0, negative
a,2742.0,145.0, u, g, x, h,3085.0, t, t,1, f, g,120,11, positive
a,2342.0,79.0, y, p, q, v,15.0, t, t,2, t, g,80,400, positive
b,4767.0,25.0, u, g, m, bb,25.0, t, t,12, t, g,410,2510, positive
b,2325.0,12625.0, u, g, c, v,125.0, f, t,2, f, g,0,5552, negative
a,2508.0,254.0, y, p, aa, v,25.0, t, f,0, t, g,370,0, positive
a,2758.0,3.0, u, g, m, v,279.0, f, t,1, t, g,280,10, negative
b,34.0,45.0, u, g, aa, v,1.0, t, f,0, t, g,240,0, negative
b,4317.0,5.0, u, g, i, bb,225.0, f, f,0, t, g,141,0, negative
b,1942.0,65.0, u, g, w, h,146.0, t, t,7, f, g,80,2954, positive
b,2725.0,1665.0, u, g, cc, h,5085.0, t, t,9, f, g,399,827, positive
a,285.0,1.0, u, g, q, v,1.0, t, t,2, t, g,167,500, negative
b,4517.0,15.0, u, g, c, v,25.0, t, f,0, t, g,140,0, negative
b,20.0,0.0, u, g, d, v,5.0, f, f,0, f, g,144,0, negative
b,2117.0,0.0, u, g, c, v,5.0, f, f,0, t, s,0,0, negative
b,2107.0,4.0, u, g, cc, v,0.0, t, t,0, f, g,207,2599, positive
a,2192.0,11665.0, u, g, k, h,85.0, f, f,0, f, g,320,5, negative
a,3658.0,29.0, u, g, ff, ff,0.0, f, t,10, f, g,200,18, negative
a,2842.0,35.0, u, g, w, v,835.0, t, f,0, f, s,280,0, positive
b,7483.0,19.0, y, p, ff, ff,4.0, f, t,2, f, g,0,351, negative
b,3475.0,15.0, u, g, r, n,5375.0, t, t,9, t, g,0,134, positive
a,46.0,4.0, u, g, j, j,0.0, t, f,0, f, g,100,960, positive
b,2017.0,5625.0, u, g, w, v,171.0, t, f,0, f, s,120,0, positive
b,2517.0,35.0, u, g, cc, v,625.0, t, t,7, f, g,0,7059, positive
b,28.0,2.0, u, g, k, h,4165.0, t, t,2, t, g,181,0, positive
b,3317.0,3165.0, y, p, x, v,3165.0, t, t,3, t, g,380,0, positive
b,4092.0,835.0, u, g, ff, ff,0.0, t, f,0, f, g,130,1, negative
b,1967.0,375.0, u, g, q, v,2.0, t, t,2, t, g,80,0, positive
b,4117.0,404.0, u, g, cc, h,7.0, t, t,8, f, g,320,0, positive
b,2325.0,1.0, u, g, c, v,835.0, t, f,0, f, s,300,0, positive
a,2067.0,3.0, u, g, q, v,165.0, t, t,3, f, g,100,6, positive
b,3375.0,275.0, u, g, i, bb,0.0, f, f,0, f, g,180,0, negative
b,41.0,4.0, u, g, e, v,4.0, f, t,1, f, s,560,0, positive
b,4283.0,4625.0, u, g, q, v,458.0, t, f,0, f, s,0,0, positive
b,4317.0,5.0, u, g, i, bb,225.0, f, f,0, t, g,141,0, negative
a,2475.0,3.0, u, g, q, h,1835.0, t, t,19, f, g,0,500, positive
b,2104.0,1302.0, u, gg, q, h,0.0, t, f,6, t, g,0,0, positive
b,1917.0,95.0, u, g, w, v,15.0, t, f,0, f, g,120,2206, positive
b,1967.0,10.0, y, p, k, h,835.0, t, f,0, t, g,140,0, negative
a,3217.0,146.0, u, g, w, v,1085.0, t, t,16, f, g,120,2079, positive
a,4033.0,754.0, y, p, q, h,8.0, t, t,14, f, g,0,2300, positive
a,2242.0,1125.0, y, p, x, h,75.0, t, t,4, f, g,0,321, positive
b,2333.0,11625.0, y, p, w, v,835.0, t, f,0, t, g,160,300, positive
a,1792.0,1021.0, u, g, ff, ff,0.0, f, f,0, f, g,0,50, negative
a,245.0,5.0, u, g, q, h,15.0, t, f,0, f, g,280,824, positive
b,3183.0,4.0, y, p, m, v,4.0, f, f,0, f, g,0,0, negative
b,5658.0,185.0, u, g, d, bb,15.0, t, t,17, t, g,0,0, positive
b,3942.0,171.0, y, p, m, v,165.0, f, f,0, f, s,400,0, negative
