a,2267.0,335.0, u, g, q, v,75.0, f, f,0, f, s,160,0, negative
b,3108.0,3085.0, u, g, c, v,25.0, f, t,2, t, g,160,41, negative
a,18.0,1194.0, y, p, c, bb,0.0, t, t,3, t, g,245,489, positive
b,4733.0,65.0, u, g, c, v,1.0, f, f,0, t, g,0,228, negative
b,18.0,756.0, u, p, m, v,0.0, t, f,0, f, g,107,1445, positive
b,28.0,3.0, u, g, w, v,75.0, f, f,0, t, g,300,67, negative
a,2083.0,3.0, u, g, aa, v,4.0, t, f,0, f, g,100,0, positive
a,5439.0,820.0, u, g, x, ff,0.0, t, t,10, f, g,12,6469, positive
b,1375.0,4.0, y, p, w, v,175.0, t, t,2, t, g,120,1000, positive
b,2308.0,115.0, u, g, w, h,2125.0, t, t,11, t, g,290,284, positive
a,2008.0,125.0, u, g, c, v,0.0, f, f,0, f, g,0,0, negative
b,3317.0,104.0, u, g, r, h,65.0, t, f,0, t, g,164,31285, positive
a,2817.0,375.0, u, g, q, v,585.0, t, t,4, f, g,80,0, positive
a,25.0,1233.0, u, g, cc, h,35.0, t, t,6, f, g,400,458, positive
b,2958.0,475.0, u, g, m, v,2.0, f, t,1, t, g,460,68, negative
b,3108.0,15.0, y, p, w, v,4.0, f, f,0, f, s,160,0, negative
b,2592.0,875.0, u, g, k, v,375.0, f, t,2, t, g,174,3, negative
b,7483.0,19.0, y, p, ff, ff,4.0, f, t,2, f, g,0,351, negative
a,2767.0,204.0, u, g, w, v,25.0, f, f,0, t, g,180,50, negative
a,3175.0,3.0, y, p, j, j,0.0, f, f,0, f, g,160,20, negative
a,2767.0,204.0, u, g, w, v,25.0, f, f,0, t, g,180,50, negative
b,2442.0,12335.0, u, g, q, h,1585.0, t, f,0, t, g,120,0, positive
b,2325.0,1.0, u, g, c, v,835.0, t, f,0, f, s,300,0, positive
b,2667.0,271.0, y, p, cc, v,525.0, t, t,1, f, g,211,0, positive
b,2342.0,585.0, u, g, c, h,85.0, t, f,0, f, g,180,0, negative
b,295.0,58.0, u, g, w, v,29.0, f, t,1, f, g,340,2803, negative
b,27.0,15.0, y, p, w, v,375.0, t, f,0, t, g,260,1065, positive
b,2208.0,11.0, u, g, cc, v,665.0, t, f,0, f, g,100,0, positive
a,5758.0,2.0, u, g, ff, ff,65.0, f, t,1, f, g,0,10, negative
a,2242.0,5665.0, u, g, q, v,2585.0, t, t,7, f, g,129,3257, positive
a,1967.0,21.0, u, g, q, h,29.0, t, t,11, f, g,80,99, positive
b,2917.0,35.0, u, g, w, v,35.0, t, t,3, t, g,329,0, negative
b,2392.0,665.0, u, g, c, v,165.0, f, f,0, f, g,100,0, positive
b,3992.0,621.0, u, g, q, v,4.0, t, t,1, f, g,200,300, positive
b,7342.0,1775.0, u, g, ff, ff,0.0, t, f,0, t, g,0,0, positive
a,2267.0,7.0, u, g, c, v,165.0, f, f,0, f, g,160,0, negative
b,20.0,11045.0, u, g, c, v,2.0, f, f,0, t, g,136,0, negative
b,34.0,45.0, u, g, aa, v,1.0, t, f,0, t, g,240,0, negative
b,5183.0,3.0, y, p, ff, ff,15.0, f, f,0, f, g,180,4, negative
b,2108.0,4125.0, y, p, i, h,4.0, f, f,0, f, g,140,100, negative
b,3842.0,705.0, u, g, c, v,375.0, f, t,2, f, g,225,500, negative
a,3058.0,10665.0, u, g, q, h,85.0, f, t,12, t, g,129,3, negative
b,5183.0,3.0, y, p, ff, ff,15.0, f, f,0, f, g,180,4, negative
a,2867.0,104.0, u, g, c, v,25.0, t, t,5, t, g,300,1430, positive
b,4858.0,205.0, y, p, k, v,25.0, t, t,11, f, g,380,2732, positive
b,2117.0,0.0, u, g, c, v,5.0, f, f,0, t, s,0,0, negative
b,4717.0,5835.0, u, g, w, v,55.0, f, f,0, f, g,465,150, negative
b,1366.0,0.0, u, g, c, h,0.0, t, t,7, t, g,71,0, positive
a,2758.0,3.0, u, g, m, v,279.0, f, t,1, t, g,280,10, negative
a,3325.0,25.0, y, p, c, v,25.0, f, f,0, t, g,0,2, negative
b,2817.0,125.0, y, p, k, v,85.0, f, f,0, f, g,216,2100, negative
a,25.0,11.0, y, p, aa, v,45.0, t, f,0, f, g,120,0, negative
b,2617.0,835.0, u, g, cc, v,1165.0, f, f,0, f, g,100,0, negative
b,2742.0,125.0, u, g, aa, bb,25.0, f, f,0, t, g,720,0, negative
b,2667.0,175.0, y, p, c, v,1.0, t, t,5, t, g,160,5777, positive
b,1708.0,329.0, u, g, i, v,335.0, f, f,0, t, g,140,2, negative
b,2558.0,335.0, u, g, k, h,35.0, f, f,0, t, g,340,0, negative
b,26.0,1.0, u, g, q, v,175.0, t, f,0, t, g,280,0, positive
b,2967.0,75.0, y, p, c, v,4.0, f, f,0, f, g,240,0, negative
b,3408.0,8.0, y, p, m, bb,4.0, t, t,1, t, g,280,2000, positive
a,2075.0,954.0, u, g, i, v,4.0, f, f,0, f, g,200,1000, negative
b,2675.0,2.0, u, g, d, v,75.0, f, f,0, t, g,80,0, negative
b,3425.0,175.0, u, g, w, bb,25.0, t, f,0, t, g,163,0, negative
a,2433.0,25.0, y, p, i, bb,45.0, f, f,0, f, g,200,456, negative
b,3158.0,75.0, y, p, aa, v,35.0, f, f,0, t, g,320,0, negative
b,4425.0,11.0, y, p, d, v,15.0, t, f,0, f, s,0,0, negative
b,2342.0,585.0, u, g, c, h,85.0, t, f,0, f, g,180,0, negative
b,34.0,5085.0, y, p, i, bb,1085.0, f, f,0, t, g,480,0, negative
b,2292.0,3165.0, y, p, c, v,165.0, f, f,0, f, g,160,1058, negative
b,2333.0,11625.0, y, p, w, v,835.0, t, f,0, t, g,160,300, positive
b,6408.0,20.0, u, g, x, h,175.0, t, t,9, t, g,0,1000, positive
b,3467.0,108.0, u, g, m, v,1165.0, f, f,0, f, s,28,0, negative
b,6775.0,55.0, u, g, e, z,13.0, t, t,1, t, g,0,0, positive
a,1958.0,665.0, y, p, c, v,1.0, f, t,1, f, g,2000,2, negative
a,1892.0,9.0, u, g, aa, v,75.0, t, t,2, f, g,88,591, positive
a,225.0,11.0, y, p, q, v,3.0, t, f,0, t, g,268,0, negative
b,4717.0,5835.0, u, g, w, v,55.0, f, f,0, f, g,465,150, negative
b,3917.0,25.0, y, p, i, h,10.0, f, f,0, t, s,200,0, negative
b,3858.0,3335.0, u, g, w, v,4.0, t, t,14, f, g,383,1344, positive
a,5192.0,65.0, u, g, i, bb,3085.0, f, f,0, t, g,73,0, negative
b,2008.0,25.0, u, g, q, v,125.0, f, f,0, f, g,200,0, negative
b,34.0,45.0, u, g, aa, v,1.0, t, f,0, t, g,240,0, negative
a,3367.0,375.0, u, g, cc, v,375.0, f, f,0, f, g,300,44, positive
b,2158.0,79.0, y, p, cc, v,665.0, f, f,0, f, g,160,0, negative
b,415.0,154.0, u, g, i, bb,35.0, f, f,0, f, g,216,0, positive
b,26.0,1.0, u, g, q, v,175.0, t, f,0, t, g,280,0, positive
b,2358.0,179.0, u, g, c, v,54.0, f, f,0, t, g,136,1, negative
a,1767.0,0.0, y, p, j, ff,0.0, f, f,0, f, g,86,0, negative
a,2617.0,2.0, u, g, j, j,0.0, f, f,0, t, g,276,1, negative
a,1185.0,1301.0, u, g, q, v,0.0, t, f,4, t, s,0,1691, positive
b,20.0,125.0, y, p, k, v,125.0, f, f,0, f, g,140,4, negative
b,2008.0,25.0, u, g, q, v,125.0, f, f,0, f, g,200,0, negative
a,165.0,125.0, u, g, q, v,25.0, f, t,1, f, g,108,98, negative
b,2667.0,14585.0, u, g, i, bb,0.0, f, f,0, t, g,178,0, negative
a,3875.0,15.0, u, g, ff, ff,0.0, f, f,0, f, g,76,0, negative
a,2175.0,1175.0, u, g, c, v,25.0, f, f,0, t, g,180,0, negative
b,485.0,425.0, u, g, m, v,125.0, t, f,0, t, g,225,0, positive
b,1625.0,835.0, u, g, m, v,85.0, t, f,0, f, s,200,0, negative
b,3992.0,621.0, u, g, q, v,4.0, t, t,1, f, g,200,300, positive
a,1655.0,1400.0, u, g, x, bb,0.0, t, t,0, t, g,201,695, positive
