b,1825.0,165.0, u, g, d, v,25.0, f, f,0, t, s,280,0, negative
a,2358.0,115.0, y, p, k, h,3.0, f, f,0, t, g,20,16, negative
b,1933.0,95.0, u, g, q, v,1.0, t, f,0, t, g,60,400, positive
b,2267.0,254.0, y, p, c, h,2585.0, t, f,0, f, g,0,0, positive
b,42.0,205.0, u, g, i, h,5125.0, t, f,0, f, g,400,0, positive
a,235.0,9.0, u, g, q, v,85.0, t, t,5, t, g,120,0, positive
b,5142.0,4.0, u, g, x, h,4.0, t, f,0, f, g,0,3000, positive
a,235.0,9.0, u, g, q, v,85.0, t, t,5, t, g,120,0, positive
a,2075.0,1025.0, u, g, q, v,71.0, t, t,2, t, g,49,0, positive
b,4175.0,96.0, u, g, x, v,25.0, t, f,0, f, g,510,600, positive
b,3867.0,21.0, u, g, k, v,85.0, t, f,0, t, g,280,0, positive
b,3733.0,65.0, u, g, m, h,425.0, t, t,12, t, g,93,0, positive
b,485.0,425.0, u, g, m, v,125.0, t, f,0, t, g,225,0, positive
b,4767.0,25.0, u, g, m, bb,25.0, t, t,12, t, g,410,2510, positive
b,3983.0,5.0, u, g, m, v,25.0, t, f,0, f, s,288,0, negative
b,4733.0,65.0, u, g, c, v,1.0, f, f,0, t, g,0,228, negative
b,2517.0,35.0, u, g, cc, v,625.0, t, t,7, f, g,0,7059, positive
b,2983.0,125.0, y, p, k, v,25.0, f, f,0, f, g,224,0, negative
b,6542.0,11.0, u, g, e, z,20.0, t, t,7, t, g,22,0, positive
b,2392.0,15.0, u, g, d, h,1875.0, t, t,6, f, g,200,327, positive
b,2267.0,1585.0, y, p, w, v,3085.0, t, t,6, f, g,80,0, positive
b,1833.0,121.0, y, p, e, dd,0.0, f, f,0, f, g,100,0, negative
a,23.0,1835.0, u, g, j, j,0.0, f, t,1, f, g,200,53, negative
a,7675.0,492.0, u, g, q, n,0.0, t, t,0, t, g,0,458, positive
b,32.0,175.0, y, p, e, h,4.0, t, f,0, t, g,393,0, positive
a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
