b,5675.0,1225.0, u, g, m, v,125.0, t, t,4, t, g,200,0, positive
b,2625.0,154.0, u, g, w, v,125.0, f, f,0, f, g,100,0, negative
a,3517.0,375.0, u, g, ff, ff,0.0, f, t,6, f, g,0,200, negative
b,3367.0,2165.0, u, g, c, v,15.0, f, f,0, f, p,120,0, negative
b,2775.0,129.0, u, g, k, h,25.0, f, f,0, t, s,140,0, negative
b,2067.0,529.0, u, g, q, v,375.0, t, t,1, f, g,160,0, negative
b,3558.0,75.0, u, g, k, v,15.0, f, f,0, t, g,231,0, negative
a,2733.0,1665.0, u, g, ff, ff,0.0, f, f,0, f, g,340,1, negative
b,2275.0,115.0, u, g, i, v,415.0, f, f,0, f, g,0,0, negative
b,5742.0,85.0, u, g, e, h,7.0, t, t,3, f, g,0,0, positive
b,1792.0,205.0, u, g, aa, v,4.0, f, f,0, f, g,280,750, negative
b,2517.0,35.0, u, g, cc, v,625.0, t, t,7, f, g,0,7059, positive
b,5742.0,85.0, u, g, e, h,7.0, t, t,3, f, g,0,0, positive
b,3292.0,25.0, u, g, aa, v,175.0, f, t,2, t, g,720,0, negative
b,3317.0,104.0, u, g, r, h,65.0, t, f,0, t, g,164,31285, positive
b,1758.0,10.0, u, g, w, h,165.0, f, t,1, f, g,120,1, negative
b,2675.0,45.0, y, p, c, bb,25.0, f, f,0, f, g,200,1210, negative
b,2292.0,17.0, u, g, m, v,85.0, f, f,0, f, s,0,0, negative
a,3695.0,1398.0, y, gg, aa, v,0.0, t, t,0, t, g,174,2588, positive
a,4117.0,65.0, u, g, q, v,5.0, t, t,3, t, g,145,0, positive
b,2067.0,125.0, y, p, c, h,1375.0, t, t,3, t, g,140,210, negative
b,4433.0,5.0, u, g, i, h,5.0, t, f,0, t, g,320,0, positive
b,5742.0,85.0, u, g, e, h,7.0, t, t,3, f, g,0,0, positive
b,2675.0,2.0, u, g, d, v,75.0, f, f,0, t, g,80,0, negative
b,2417.0,875.0, u, g, q, v,4625.0, t, t,2, t, g,520,2000, positive
b,2042.0,1835.0, u, g, c, v,225.0, t, t,1, f, g,100,150, positive
a,2492.0,125.0, u, g, ff, ff,0.0, t, f,0, f, g,80,0, negative
a,2808.0,15.0, y, p, e, z,0.0, t, f,0, f, g,0,13212, positive
b,18.0,0.0, u, g, m, bb,0.0, f, f,0, f, g,84,0, positive
b,3242.0,3.0, u, g, d, v,165.0, f, f,0, t, g,120,0, negative
b,3317.0,1.0, u, g, x, v,75.0, t, t,7, t, g,340,4071, positive
b,3617.0,18125.0, u, g, w, v,85.0, f, f,0, f, g,320,3552, negative
a,2083.0,3.0, u, g, aa, v,4.0, t, f,0, f, g,100,0, positive
a,3175.0,3.0, y, p, j, j,0.0, f, f,0, f, g,160,20, negative
b,2325.0,4.0, u, g, c, bb,25.0, t, f,0, t, g,160,0, positive
b,3517.0,45.0, u, g, x, h,575.0, f, f,0, t, s,711,0, positive
b,2458.0,125.0, u, g, c, v,25.0, f, f,0, f, g,110,0, negative
a,2492.0,125.0, u, g, ff, ff,0.0, t, f,0, f, g,80,0, negative
b,2267.0,105.0, u, g, q, h,1335.0, t, f,0, f, g,100,0, positive
b,2375.0,12.0, u, g, c, v,2085.0, f, f,0, f, s,80,0, negative
b,2567.0,325.0, u, g, c, h,229.0, f, t,1, t, g,416,21, negative
b,1625.0,0.0, y, p, aa, v,25.0, f, f,0, f, g,60,0, negative
a,2408.0,5.0, u, g, q, h,125.0, t, t,1, f, g,0,678, positive
b,2725.0,1665.0, u, g, cc, h,5085.0, t, t,9, f, g,399,827, positive
a,4417.0,6665.0, u, g, q, v,7375.0, t, t,3, t, g,0,0, positive
b,21.0,3.0, y, p, d, v,1085.0, t, t,8, t, g,160,1, positive
b,2333.0,11625.0, y, p, w, v,835.0, t, f,0, t, g,160,300, positive
b,2408.0,9.0, u, g, aa, v,25.0, f, f,0, t, g,0,0, negative
b,26.0,1.0, u, g, q, v,175.0, t, f,0, t, g,280,0, positive
b,2783.0,154.0, u, g, w, v,375.0, t, t,5, t, g,100,3, positive
a,2075.0,1025.0, u, g, q, v,71.0, t, t,2, t, g,49,0, positive
b,1942.0,725.0, u, g, m, v,4.0, f, t,1, f, g,100,1, negative
b,18.0,1000.0, u, p, i, z,0.0, t, t,0, t, g,47,1396, positive
b,2767.0,75.0, u, g, q, h,165.0, f, f,0, t, g,220,251, negative
b,31.0,2085.0, u, g, c, v,85.0, f, f,0, f, g,300,0, negative
b,1842.0,10415.0, y, p, aa, v,125.0, t, f,0, f, g,120,375, negative
b,2408.0,9.0, u, g, aa, v,25.0, f, f,0, t, g,0,0, negative
b,4117.0,125.0, y, p, w, v,25.0, f, f,0, f, g,0,195, negative
a,1895.0,515.0, u, g, cc, h,0.0, t, f,1, f, g,111,0, positive
b,1883.0,415.0, y, p, c, v,165.0, f, t,1, f, g,200,1, negative
b,1858.0,1029.0, u, g, ff, ff,415.0, f, f,0, f, g,80,0, negative
b,3733.0,65.0, u, g, m, h,425.0, t, t,12, t, g,93,0, positive
b,2442.0,2.0, u, g, e, dd,165.0, f, t,2, f, g,320,1300, negative
a,1018.0,1041.0, u, g, x, bb,0.0, t, f,0, t, g,517,139, positive
b,31.0,2085.0, u, g, c, v,85.0, f, f,0, f, g,300,0, negative
b,4780.0,962.0, u, g, e, v,0.0, t, t,2, t, s,0,1219, positive
a,525.0,7.0, u, g, aa, h,3.0, f, f,0, f, g,0,0, negative
b,185.0,2.0, u, g, i, v,15.0, t, t,2, f, g,120,300, positive
b,4092.0,5.0, y, p, m, v,5.0, f, f,0, t, g,130,0, negative
b,3225.0,165.0, y, p, c, h,325.0, t, t,1, t, g,432,8000, positive
b,2392.0,665.0, u, g, c, v,165.0, f, f,0, f, g,100,0, positive
a,565.0,16.0, u, g, j, ff,0.0, t, t,15, f, g,0,247, positive
b,3525.0,165.0, y, p, c, v,4.0, t, f,0, f, g,80,0, negative
b,2267.0,75.0, u, g, i, v,1585.0, f, t,1, t, g,400,9, negative
a,2275.0,6165.0, u, g, aa, v,165.0, f, f,0, f, g,220,1000, negative
b,3608.0,254.0, u, g, ff, ff,0.0, f, f,0, f, g,0,1000, negative
a,2008.0,125.0, u, g, c, v,0.0, f, f,0, f, g,0,0, negative
b,4425.0,5.0, u, g, m, v,1075.0, t, f,0, f, s,400,0, negative
a,5708.0,335.0, u, g, i, bb,1.0, t, f,0, t, g,252,2197, negative
b,2333.0,15.0, u, g, c, h,1415.0, t, f,0, f, g,422,200, positive
b,205.0,10.0, y, p, c, v,25.0, t, f,0, f, s,40,0, positive
a,1858.0,10.0, u, g, d, v,415.0, f, f,0, f, g,80,42, negative
a,2083.0,85.0, u, g, c, v,165.0, f, f,0, f, g,0,351, negative
b,3225.0,165.0, y, p, c, h,325.0, t, t,1, t, g,432,8000, positive
b,2067.0,529.0, u, g, q, v,375.0, t, t,1, f, g,160,0, negative
b,7483.0,19.0, y, p, ff, ff,4.0, f, t,2, f, g,0,351, negative
a,3192.0,3125.0, u, g, ff, ff,304.0, f, t,2, t, g,200,4, negative
b,18.0,781.0, u, g, e, h,1297.0, t, f,1, f, g,0,1463, positive
b,215.0,115.0, u, g, i, v,5.0, t, f,0, t, g,100,68, negative
