2.0,2.8,2.8,2.0, none,35.0, empl_contr,2.0,2.9273564333966515, no,10.0, average, no, none, yes, full, bad
1.0,2.6,3.8,2.177658774511385, none,39.25285909936986, none,2.4959806847313515,3.0998063420220263, no,10.0, average, no, none, yes, none, bad
2.0,2.5,2.0,2.161045238161983, tcf,40.0, none,2.61022466870685,2.7654176544891524, no,10.0, below_average, no, none, yes, none, bad
2.0,2.5,3.0,2.171428571428572, none,40.0, none,2.571428571428572,2.411764705882353, no,11.0, below_average, no, none, yes, none, bad
1.0,2.0,2.0,2.1255664151008014, tc,38.42848667209508, none,2.5374365584129475,0.0, no,10.0, below_average, no, none, yes, none, bad
2.0,4.0,4.0,2.171428571428572, none,40.0, none,2.571428571428572,3.0, no,10.0, below_average, no, none, yes, none, bad
2.0,3.1,2.4,2.0, none,37.94776918027442, none,2.718800554547125,2.3692250445734966, no,10.0, below_average, no, none, yes, full, bad
3.0,4.5,4.5,5.0, none,40.0,?,11.333333333333334,5.428571428571429, no,11.0, average,?, half,?,?, good
1.0,5.7,4.43050847457627,4.534999999999999, none,40.0, empl_contr,11.333333333333334,4.0,?,11.0, generous, yes, full,?,?, good
1.0,6.0,4.43050847457627,4.534999999999999,?,38.0,?,8.0,3.0,?,9.0, generous,?, full,?,?, good
1.0,2.6,3.8,2.177658774511385, none,39.25285909936986, none,2.4959806847313515,3.0998063420220263, no,10.0, average, no, none, yes, none, bad
2.0,4.5,4.0,2.171428571428572, none,40.0, none,2.571428571428572,2.0, no,10.0, below_average, no, half, yes, half, bad
2.0,5.0,4.5,4.534999999999999, none,38.0,?,14.0,5.0,?,11.0, below_average, yes, full,?, full, good
3.0,4.5,4.5,5.0, none,40.0,?,11.333333333333334,5.428571428571429, no,11.0, average,?, half,?,?, good
2.0,3.0,3.0,4.534999999999999, none,33.0,?,11.333333333333334,5.428571428571429, yes,12.0, generous,?, full, yes, full, good
3.0,3.5,4.0,4.6, none,36.0,?,11.333333333333334,3.0,?,13.0, generous,?, full, yes, full, good
2.0,4.0,4.0,2.171428571428572, none,40.0, none,2.571428571428572,3.0, no,10.0, below_average, no, none, yes, none, bad
3.0,6.9,4.8,2.3,?,40.0,?,11.333333333333334,3.0,?,12.0, below_average,?, full,?,?, good
2.0,4.0,5.0,4.534999999999999, tcf,35.0,?,13.0,5.0,?,15.0, generous,?, full,?,?, good
3.0,4.0,3.5,4.534999999999999, none,40.0, empl_contr,11.333333333333334,6.0,?,11.0, average, yes, full,?, full, good
