4,73,8,1.108,0.118,0.752,1.07,616,8,630,5
1,2,114,0.902,0.929,1.0,14.37,55,385,1,4
2,80,1845,78.012,0.198,1.0,6.99,85,346,1,2
4,465,2340,0.125,0.081,0.422,2.28,444,23092,192,5
28,262,25257,0.863,0.475,0.991,47.14,401,639,113,3
63,16,10,0.556,0.954,1.0,61.67,7,13,6,4
8,14,112,1.75,0.277,0.643,2.82,31,72,11,1
6,10,60,1.667,0.183,0.65,1.83,11,39,6,1
112,547,23944,0.733,0.552,0.811,68.94,3920,17864,1055,3
2,1,1682,113.107,0.057,1.0,11.39,7,530,6,2
4,269,4536,1.499,0.209,0.801,5.57,578,8,1,5
1,2,90,0.391,1.0,0.923,1.67,7,243,1,4
1,27,170,74.74,0.218,1.0,44.2,7,242,1,2
6,104,624,17.333,0.234,0.862,1.32,146,538,111,1
9,18,162,2.0,0.259,0.71,1.56,42,115,27,1
1,31,1300,55.745,0.513,0.285,55.45,7,45,5,2
37,68,44285,0.733,0.635,0.991,22.18,401,2240,6,3
4,19,901,0.673,0.093,0.062,1.07,7,1030,142,5
4,72,8762,1.197,0.171,0.348,1.07,7,8,341,5
90,217,10755,1.2,0.639,0.991,66.1,401,5007,2333,3
1,73,1325,0.027,0.854,0.988,64.44,7,291,47,2
9,278,2502,30.889,0.258,0.798,1.62,645,1997,398,1
4,16,143993,4.417,0.088,0.614,2.62,7,374,332,5
28,202,868,1.078,0.496,0.991,33.86,401,639,427,3
11,24,896,1.297,0.099,0.261,2.17,647,1091,1,5
1,111,1511,67.613,0.089,0.939,24.21,60,7,1,2
117,547,868,0.733,0.717,0.731,33.23,1676,17117,728,3
4,64,5110,3.692,0.198,0.062,4.16,7,8,256,5
2,105,470,56.664,0.523,0.747,53.53,7,7,14,2
9,23,207,2.556,0.246,0.57,1.82,51,118,28,1
48,547,25306,0.924,0.595,0.46,124.33,401,639,240,3
4,465,8,2.864,0.074,0.376,1.07,208,961,1,5
1,3,324,0.345,1.0,0.632,57.93,7,134,1,4
2,2,159,0.545,0.642,0.949,39.82,7,114,67,4
4,31,8,1.142,0.119,0.349,1.07,7,8,315,5
2,84,1050,31.801,0.8,1.0,56.42,24,341,1,2
1,109,1096,0.027,0.819,0.971,3.9,7,161,137,2
10,22,220,2.2,0.377,0.614,2.44,83,135,34,1
4,105,8,0.229,0.052,0.465,1.07,7,8,1,5
50,496,8391,0.973,0.5,0.545,47.71,401,46133,6,3
181,547,24016,0.733,0.899,0.986,50.24,9225,46133,1004,3
7,26,182,3.714,0.302,0.863,1.9,55,157,29,1
7,4,28,0.571,0.25,0.857,1.75,7,24,4,1
1,3,17,0.256,1.0,0.688,58.98,7,7,22,4
34,1,493,7.368,0.965,0.996,5.46,39,102,1,4
133,49,868,0.733,0.411,0.724,39.57,3699,15037,1776,3
4,143,8,0.771,0.155,0.197,1.07,613,4227,1,5
1,239,283,29.331,0.432,0.684,79.28,93,734,1,2
99,178,87234,1.174,0.465,0.742,3.63,401,32616,1837,3
1,410,387,166.585,1.0,1.0,29.74,1001,114,201,2
1,2,295,0.531,1.0,0.973,43.11,20,7,205,4
1,4,7,0.82,0.978,1.0,10.03,11,22,57,4
2,54,112,185.363,0.414,0.419,1.02,75,33,1,2
4,118,8,0.468,0.083,0.084,6.33,7,539,1,5
4,30,8,1.61,0.338,0.062,1.16,585,1032,1,5
112,2,7,0.51,1.0,0.905,55.47,7,7,58,4
1,9,225,0.95,1.0,1.0,1.67,7,48,1,4
46,1,8,0.125,0.11,0.091,2.55,7,948,20,5
145,144,20136,0.939,0.491,0.985,76.98,11340,10135,2125,3
7,80,560,11.429,0.155,0.698,1.18,87,391,74,1
5,96,789,2.258,0.335,0.201,1.07,997,1467,96,5
1,3,7,0.28,0.947,0.989,76.86,61,124,4,4
1,2,442,0.007,1.0,0.985,29.19,7,96,19,4
4,90,18270,1.47,0.128,0.466,1.07,544,1558,163,5
4,134,8,0.93,0.414,0.464,1.66,7,427,159,5
30,53,8196,1.602,0.084,0.365,6.96,7,965,1,5
1,7,246,1.172,0.974,1.0,28.11,7,154,1,4
40,95,8,3.055,0.052,0.402,2.87,7,8614,876,5
68,38,8,3.552,0.052,0.268,6.12,7,1412,213,5
54,547,40924,1.032,0.598,0.563,35.46,401,20136,571,3
2,37,7,23.313,0.391,0.487,1.02,58,264,157,2
2,89,2393,71.925,0.838,0.995,36.12,121,7,1,2
52,461,23972,8.865,0.192,0.248,11.52,4607,5938,400,5
1,49,49,49.0,0.286,1.0,7.0,14,49,2,1
1,3,141,0.66,0.431,0.888,11.6,7,48,1,4
10,38,380,3.8,0.308,0.632,2.13,117,240,55,1
14,79,1986,0.125,0.135,0.228,1.07,7,1823,48,5
31,465,81338,0.125,0.147,0.219,1.11,7,1743,228,5
2,537,1074,268.5,0.538,0.555,82.57,578,596,7,2
1,1,7,0.923,1.0,0.993,66.33,7,70,1,4
22,7,137,0.009,0.275,0.91,85.11,40,82,6,4
135,547,868,0.733,0.454,0.94,51.28,401,46133,6,3
7,11,77,1.571,0.312,0.844,1.33,24,65,18,1
1,68,7,232.881,0.823,0.954,39.2,97,490,8,2
81,2,249,0.616,0.967,0.965,7.25,43,402,1,4
26,40,8,7.25,0.179,0.507,5.36,7,1929,1,5
53,56,8,1.88,0.403,0.505,1.07,7,959,1,5
1,83,451,0.027,0.057,0.985,67.63,7,265,4,2
132,547,72204,4.144,0.37,0.483,20.66,26693,34874,1292,3
8,21,168,2.625,0.417,0.958,1.94,70,161,36,1
4,68,8,2.262,0.23,0.077,8.07,7,782,1324,5
46,158,41503,0.871,0.801,0.828,22.12,401,639,337,3
8,150,1200,18.75,0.158,0.594,1.23,189,713,154,1
1,58,7,57.761,0.981,1.0,51.83,7,161,1,2
1,93,73,390.402,1.0,1.0,1.02,244,1195,1,2
25,186,4650,7.44,0.456,0.868,8.06,2121,4035,263,1
1,1,326,58.591,0.241,0.974,1.02,7,154,1,2
10,33,330,3.3,0.294,0.791,1.83,97,261,53,1
677,1,197,0.241,0.972,1.0,63.31,7,83,43,4
90,515,868,1.159,0.593,0.63,8.69,401,3813,773,3
12,13,156,1.083,0.391,0.981,2.35,61,153,26,1
4,61,8,1.833,0.208,0.322,1.29,7,1576,173,5
1,553,479,0.027,0.132,1.0,55.49,7,7,1,2
17,24,408,1.412,0.426,0.792,4.46,174,323,39,1
47,50,868,0.733,0.719,0.985,41.87,401,19473,557,3
29,465,8,0.703,0.052,0.479,5.37,7,8,33,5
4,85,8,0.847,0.177,0.373,6.79,85,1462,170,5
28,180,3444,0.733,0.663,0.447,13.54,401,639,974,3
118,220,24725,0.733,0.581,0.698,45.15,1183,3481,2333,3
1,93,85,53.013,0.823,0.324,75.8,34,75,1,2
4,25,2538,4.7,0.052,0.492,1.07,3706,2165,274,5
21,1,78,0.832,0.656,0.612,11.29,7,130,1,4
4,23,4455,3.052,0.127,0.062,2.45,514,297,564,5
53,139,8,2.562,0.125,0.169,1.07,7,8,226,5
28,337,38509,0.733,0.557,0.713,26.77,401,639,1141,3
10,98,980,9.8,0.3,0.781,1.72,294,765,171,1
2,72,69,6.154,0.491,0.774,41.03,8,7,47,2
8,12,96,1.5,0.583,0.813,6.22,56,78,9,1
7,1,7,0.46,1.0,0.984,33.56,7,30,8,4
2,119,1365,134.054,0.954,0.993,60.59,509,1119,11,2
1,275,455,60.414,0.057,0.489,70.84,7,401,10,2
73,280,14941,0.733,0.529,0.991,25.01,6121,1461,177,3
1,553,1509,0.027,0.729,0.978,18.32,14,11,1,2
28,230,45309,0.733,0.595,0.676,245.83,2930,639,432,3
28,148,868,1.004,0.525,0.47,27.08,1292,46133,996,3
31,462,12331,0.733,0.543,0.647,52.61,401,639,6,3
82,547,33355,1.15,0.604,0.925,44.81,15734,639,828,3
1,437,210,73.021,0.313,0.979,1.02,121,159,1,2
1,1,393,71.861,0.479,0.86,35.5,122,164,24,2
19,1,174,0.176,0.341,0.245,13.95,7,24,5,4
30,547,30805,1.14,0.5,0.794,13.52,5435,30379,623,3
1,3,7,0.521,1.0,1.0,16.5,7,100,72,4
1,289,184,7.184,0.373,1.0,27.4,7,157,12,2
19,2,8844,0.116,0.921,0.989,27.86,73,93,4,4
97,128,868,0.783,0.646,0.721,35.69,401,30757,6,3
4,106,921,0.159,0.216,0.612,1.07,512,1944,46,5
1,311,1616,70.055,0.905,0.647,21.82,7,34,10,2
4,52,8,3.876,0.14,0.595,1.07,7,9595,1,5
14,395,5530,28.214,0.359,0.658,4.7,1988,3636,423,1
20,1,108,0.707,0.968,0.957,23.51,7,42,1,4
2,50,413,81.033,0.738,1.0,14.85,287,7,9,2
9,535,4815,59.444,0.106,0.47,1.21,510,2262,422,1
8,132,1056,16.5,0.311,0.873,2.01,328,922,163,1
10,2,31,0.669,0.999,1.0,71.09,7,22,52,4
134,315,11927,0.733,0.532,0.488,37.98,401,46133,2153,3
28,45,9428,0.781,0.534,0.892,7.62,401,2765,1391,3
28,430,22065,0.775,0.6,0.614,180.88,2989,13582,6,3
164,394,16080,1.06,0.562,0.991,30.03,401,7354,1090,3
4,49,8,2.909,0.206,0.221,1.07,7,20235,20,5
2,56,169,79.817,0.698,0.975,34.68,7,60,7,2
