49,150,868,1.021,0.563,0.991,3.63,3407,639,302,3
4,1,204,0.466,0.194,0.813,2.2,7,23092,1,5
27,62,8,0.125,0.205,0.17,2.83,7,584,133,5
7,20,140,2.857,0.35,0.757,1.58,49,106,31,1
4,136,8,1.014,0.112,0.347,1.07,7,681,592,5
133,547,31033,1.233,0.526,0.63,50.28,10872,639,6,3
1,28,897,73.721,0.435,0.98,29.73,719,67,1,2
1,2,398,0.246,0.744,1.0,58.49,7,85,3,4
88,82,873,1.14,0.658,0.983,72.83,7080,2065,1481,3
10,3,263,0.683,0.672,0.931,5.77,7,76,3,4
1,100,2548,60.419,0.231,0.303,76.97,7,721,1,2
4,125,8,0.587,0.222,0.563,4.11,7,598,156,5
4,72,8,0.411,0.127,0.151,2.29,7,1778,86,5
5,90,4045,2.685,0.126,0.169,1.93,96,911,1,5
13,1,13,0.077,1.0,1.0,13.0,13,13,1,4
187,169,868,1.162,0.595,0.66,3.63,401,639,1064,3
4,65,2393,0.125,0.071,0.062,6.83,7,800,67,5
28,547,28971,0.733,0.655,0.781,172.1,2629,21936,6,3
3,57,396,12.571,0.708,0.966,22.21,213,1142,7,2
4,34,8,1.636,0.136,0.221,6.5,7,2030,1,5
1,71,328,0.027,0.712,0.614,48.94,7,134,1,2
9,56,504,6.222,0.21,0.603,1.26,106,304,84,1
7,13,91,1.857,0.78,0.989,7.89,71,90,9,1
62,95,17588,0.733,0.899,0.679,68.05,28603,26450,1105,3
9,93,837,10.333,0.229,0.734,1.57,192,614,122,1
11,1,7312,0.174,0.946,0.997,54.78,7,138,51,4
25,292,7300,11.68,0.45,0.914,7.23,3283,6670,454,1
89,30,16,0.007,0.945,0.999,25.66,7,544,9,4
32,73,8,2.623,0.142,0.192,7.69,12,8,58,5
52,121,8,0.581,0.126,0.119,1.07,7,1696,1,5
99,128,38284,0.733,0.579,0.806,3.63,401,39078,2083,3
20,29,58,0.393,1.0,0.986,13.65,7,71,1,4
9,180,1620,20.0,0.343,0.738,2.47,555,1196,225,1
67,3,7,1.031,0.855,0.97,4.67,7,166,1,4
1,310,217,75.488,0.809,1.0,59.24,70,129,49,2
80,56,868,1.161,0.677,0.356,4.0,401,1351,311,3
9,222,1998,24.667,0.202,0.711,1.52,403,1421,266,1
8,23,184,2.875,0.38,0.989,1.75,70,182,40,1
49,504,868,0.733,0.397,0.908,37.67,401,18926,538,3
4,93,8,2.683,0.127,0.187,6.71,7,1669,545,5
25,43,3128,1.434,0.166,0.461,6.84,949,1393,174,5
17,2,7,0.25,0.89,1.0,19.9,7,126,86,4
1,83,320,60.424,0.441,0.978,50.15,48,175,1,2
5,3,217,0.437,0.965,0.921,34.64,7,2044,1,4
46,3,203,0.976,1.0,1.0,17.84,7,98,3,4
7,7,49,1.0,0.306,0.959,1.67,15,47,9,1
28,32,896,1.143,0.459,0.73,5.96,411,654,69,1
9,349,3141,38.778,0.125,0.453,1.29,394,1422,306,1
2,80,234,383.126,0.85,0.665,56.74,57,102,8,2
77,257,19789,3.338,0.465,0.49,72.47,9204,9689,127,1
108,72,868,0.733,0.546,0.442,41.99,401,4538,2148,3
187,110,59468,0.733,0.556,0.93,15.78,5603,31106,1869,3
1,202,2016,0.027,0.858,1.0,33.97,7,104,7,2
8,2,7,0.472,0.974,1.0,15.02,7,57,94,4
45,88,8,0.625,0.135,0.062,7.4,912,162,1,5
28,188,11047,0.733,0.445,0.698,24.49,401,23026,1121,3
1,16,2184,37.308,0.458,1.0,51.47,149,57,3,2
10,173,1730,17.3,0.09,0.375,1.52,155,649,102,1
8,109,872,13.625,0.271,0.864,1.83,236,753,129,1
15,11,223,0.667,0.919,0.977,28.77,7,689,1,4
122,547,3498,2.635,0.536,0.882,29.19,401,639,1472,3
28,59,868,0.733,0.796,0.716,45.76,401,8141,645,3
2,415,830,207.5,0.505,0.578,16.76,419,480,25,2
187,168,10452,0.733,0.573,0.411,13.59,3914,2024,772,3
290,99,5065,1.585,0.505,0.489,1.07,927,8,128,5
11,22,242,2.0,0.277,0.731,1.86,67,177,36,1
10,25,250,2.5,0.392,0.808,2.51,98,202,39,1
112,66,6252,0.733,0.899,0.901,18.66,2760,639,195,3
7,11,77,1.571,0.364,0.896,1.47,28,69,19,1
4,10,8,0.571,0.052,0.879,2.51,7,8,1,5
3,72,228,33.995,0.9,0.936,68.79,7,642,1,2
1,1,76,0.029,0.91,0.972,28.28,7,17,6,4
1,3,526,0.537,0.951,0.998,3.6,429,499,16,4
10,6,60,0.6,0.333,0.817,2.5,20,49,8,1
4,64,4332,0.926,0.176,1.0,2.74,472,771,1,5
4,139,3289,1.5,0.45,0.213,2.21,1038,579,1,5
142,50,12381,0.814,0.572,0.893,48.28,5461,639,6,3
10,179,1790,17.9,0.2,0.758,1.41,358,1356,254,1
4,22,8,2.354,0.073,0.606,3.52,4967,1017,1,5
17,398,6766,23.412,0.32,0.608,5.3,2162,4117,408,1
1,206,352,0.027,0.969,0.879,7.55,7,267,2,2
4,107,6401,5.304,0.186,0.572,1.07,630,1464,1,5
1,100,427,38.356,0.701,0.652,3.31,7,15,12,2
2,553,1892,49.298,1.0,0.837,11.35,7,80,4,2
1,3,7,0.114,0.873,0.986,15.56,84,79,7,4
4,95,8,7.527,0.113,0.284,1.07,7,23092,81,5
1,2,54,0.06,0.874,1.0,21.46,7,116,1,4
4,15,8,2.378,0.117,0.091,2.28,7,8,1,5
12,85,1020,7.083,0.305,0.828,1.94,311,845,160,1
29,81,5235,0.125,0.206,0.65,1.07,194,1406,171,5
11,74,8,0.575,0.099,0.189,5.97,7,18729,1,5
1,172,273,157.95,0.887,1.0,38.43,7,130,16,2
17,1,46,0.007,0.938,0.997,25.68,40,7,11,4
7,1,7,0.007,0.988,1.0,16.61,22,130,58,4
1,2,176,0.551,1.0,0.967,131.49,7,32,1,4
8,100,661,55.795,0.771,0.99,70.66,7,7,12,2
9,1,9,0.111,1.0,1.0,9.0,9,9,1,4
1,44,1985,98.855,0.776,1.0,24.03,7,83,1,2
1,100,1594,8.457,0.151,1.0,53.84,55,7,113,2
15,2,179,0.28,0.942,0.97,3.88,7,228,3,4
8,41,328,5.125,0.293,0.872,1.43,96,286,67,1
1,206,426,51.953,0.749,0.888,33.05,211,113,7,2
30,60,8,12.167,0.136,0.062,1.07,209,8,1,5
11,22,242,2.0,0.579,0.806,7.78,140,195,18,1
63,31,868,1.189,0.538,0.764,9.27,401,7394,90,3
1,104,426,58.463,0.187,0.137,31.39,7,7,8,2
